         232641244 function calls (232621006 primitive calls) in 406.605 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1285/1283    0.002    0.000    0.003    0.000 _virtualenv.py:51(find_spec)
      732    0.002    0.000    0.023    0.000 __init__.py:2045(try_parse)
1289/1075    0.002    0.000    0.717    0.001 __init__.py:89(find_spec)
       32    0.002    0.000    0.003    0.000 inspect.py:626(cleandoc)
      134    0.002    0.000    0.008    0.000 inspect.py:1129(getfullargspec)
     1305    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:160(__exit__)
       37    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
      124    0.002    0.000    0.084    0.001 _distn_infrastructure.py:795(_construct_doc)
     3268    0.002    0.000    0.002    0.000 {built-in method from_bytes}
      275    0.002    0.000    0.002    0.000 decorators.py:27(not_implemented_for)
      444    0.002    0.000    0.005    0.000 copy.py:66(copy)
      139    0.002    0.000    0.002    0.000 {scipy.sparse._csparsetools.lil_fancy_set}
      385    0.002    0.000    0.004    0.000 inspect.py:1840(_signature_bound_method)
     4785    0.002    0.000    0.002    0.000 {built-in method _thread.get_ident}
     2852    0.002    0.000    0.002    0.000 version.py:81(__eq__)
     5623    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      122    0.001    0.000    0.014    0.000 __init__.py:2597(from_location)
     1089    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
        3    0.001    0.000    0.001    0.000 {built-in method nt.open}
      235    0.001    0.000    0.008    0.000 typing.py:738(__init__)
        2    0.001    0.001    0.002    0.001 {method 'readlines' of '_io._IOBase' objects}
      316    0.001    0.000    0.011    0.000 overrides.py:170(decorator)
    187/4    0.001    0.000    0.023    0.006 core.py:778(_parseNoCache)
     1396    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
      122    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1466(__init__)
     4770    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
      498    0.001    0.000    0.001    0.000 function_base.py:2244(__init__)
      122    0.001    0.000    0.020    0.000 <frozen zipimport>:63(__init__)
     2176    0.001    0.000    0.001    0.000 version.py:271(<genexpr>)
     1089    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
      100    0.001    0.000    0.002    0.000 ntpath.py:450(normpath)
  347/198    0.001    0.000    0.002    0.000 typing.py:932(__hash__)
      120    0.001    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1324(_path_hooks)
      136    0.001    0.000    0.034    0.000 __init__.py:2085(<genexpr>)
      286    0.001    0.000    0.007    0.000 overrides.py:88(verify_matching_signatures)
     1263    0.001    0.000    0.001    0.000 {built-in method _imp.is_frozen}
      318    0.001    0.000    0.002    0.000 inspect.py:172(_has_code_flag)
      370    0.001    0.000    0.059    0.000 genericpath.py:39(isdir)
        1    0.001    0.001    0.001    0.001 __init__.py:327(<listcomp>)
        1    0.001    0.001    0.001    0.001 {built-in method _winapi.WaitForSingleObject}
      105    0.001    0.000    0.020    0.000 _distn_infrastructure.py:1785(_attach_methods)
  138/137    0.001    0.000    0.167    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
      260    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:167(_path_isabs)
  652/615    0.001    0.000    0.019    0.000 typing.py:271(inner)
     1721    0.001    0.000    0.006    0.000 {built-in method _abc._abc_instancecheck}
      444    0.001    0.000    0.002    0.000 copy.py:258(_reconstruct)
     2768    0.001    0.000    0.002    0.000 sre_parse.py:249(match)
     1515    0.001    0.000    0.002    0.000 typing.py:664(_is_dunder)
      122    0.001    0.000    0.003    0.000 __init__.py:691(add)
     1263    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:811(find_spec)
      916    0.001    0.000    0.011    0.000 __init__.py:2077(<genexpr>)
     45/6    0.001    0.000    0.009    0.001 core.py:3816(streamline)
      409    0.001    0.000    0.005    0.000 deprecation.py:9(wrap)
